title,abstract,authors,keywords,affiliations,month,link,journal_name,year,volume,issue
An aggregation theorem for securities markets,"Alternative sets of sufficient conditions are developed under which equilibrium security rates of return are determined as if there exist only identical individuals whose resources, beliefs, and tastes are a composite of the actual individuals in the economy. These conditions include as special cases all those previously examined in the literature (including conditions sufficient to produce the two-parameter mean-variance model), as well as others. Whenever such a composite individual exists it is shown that (1) valuation equations take a specific form and contain only exogenous parameters of the economy; (2) market exchange arrangements are Pareto-optimal; and (3) competitive value-maximizing firms make completely specified Pareto-optimal production decisions both over dates and states. These results rely on the observation that under popular homogeneity assumptions regarding beliefs and tastes, even though the securities market may be incomplete, equilibrium rates of return are determined as if there were an otherwise similar Arrow-Debreu economy.",['Mark Rubinstein'],[],[],September,https://www.sciencedirect.com//science/article/pii/0304405X74900191,Journal of Financial Economics,1974,1,3
Tests of the multiperiod two-parameter model,"Although investors face multiperiod decision problems, there are conditions under which the results of the one-period two-parameter model apply period by period. In addition to the assumptions made in the development of the two-parameter model itself (a perfect capital market, investor risk aversion, and normal distributions of one-period portfolio returns), the critical assumption in a multiperiod context is that, for any t, returns on portfolio assets from t−1 to t are independent of stochastic elements of the state-of-the-world at time t that affect investor tastes for given levels of wealth to be obtained at t.","['Eugene F. Fama', 'James D. MacBeth']",[],[],May,https://www.sciencedirect.com//science/article/pii/0304405X74900087,Journal of Financial Economics,1974,1,1
"Stock prices, inflation, and the term structure of interest rates","In this article, the quantitative form of capital market equilibrium is derived for a multi-period economy in which (a) there are many consumption goods whose future prices are uncertain, and (b) the investment opportunities available to consumers include both common stocks and default-free bills of many different maturities. Particular emphasis is placed on consumer reaction to uncertainty about shifts in commodity prices and the term structure of interest rates and on the way one should expect to observe this reaction reflected in portfolio choices and equilibrium stock prices.",['John B. Long'],[],[],July,https://www.sciencedirect.com//science/article/pii/0304405X74900026,Journal of Financial Economics,1974,1,2
A negative report on the ‘near optimality’ of the max-expected-log policy as applied to bounded utilities for long lived programs,"Much controversy surrounds the use of the portfolio investment rules induced by maximizing the expected logarithm of terminal wealth (henceforth referred to as the MEL policy). It has been thought that the MEL policy is a good approximation to the optimal investment program when the utility of terminal wealth function is bounded and when the time horizon is long. However, I exhibit a class of bounded utility of terminal wealth functions for which the MEL policy is a very poor approximation to the optimal program. Hence, the wholesale use of the MEL policy as an approximation to the optimal program is unwarranted.",['M.Barry Goldman'],[],[],May,https://www.sciencedirect.com//science/article/pii/0304405X74900117,Journal of Financial Economics,1974,1,1
Determinants of bid-asked spreads in the over-the-counter market,"Security market regulators, among others, are concerned to know whether or not dealers are natural monopolists. Based on a randomly drawn sample of 314 over-the-counter stocks, the results of this study suggest that while there are economies of scale, they are not on the dealer level. In addition, both systematic and unsystematic risk were tested for association with the transaction costs in this market. The evidence suggests unsystematic risk is related to spread.","['George J. Benston', 'Robert L. Hagerman']",[],[],December,https://www.sciencedirect.com//science/article/pii/0304405X74900142,Journal of Financial Economics,1974,1,4
Fallacy of the log-normal approximation to optimal portfolio decision-making over many periods,"The fallacy that a many-period expected-utility maximizer should maximize (a) the expected logarithm of portfolio outcomes or (b) the expected average compound return of his portfolio is now understood to rest upon a fallacious use of the Law of Large Numbers. This paper exposes a more subtle fallacy based upon a fallacious use of the Central-Limit Theorem. While the properly normalized product of independent random variables does asymptotically approach a log-normal distribution under proper assumptions, it involves a fallacious manipulation of double limits to infer from this that a maximizer of expected utility after many periods will get a useful approximation to his optimal policy by calculating an efficiency frontier based upon (a) the expected log of wealth outcomes and its variance or (b) the expected average compound return and its variance. Expected utilities calculated from the surrogate log-normal function differ systematically from the correct expected utilities calculated from the true probability distribution. A new concept of ‘initial wealth equivalent’ provides a transitive ordering of portfolios that illuminates commonly held confusions. A non-fallacious application of the log-normal limit and its associated mean-variance efficiency frontier is established for a limit where any fixed horizon period is subdivided into ever more independent sub-intervals. Strong mutual-fund Separation Theorems are then shown to be asymptotically valid.","['Robert C. Merton', 'Paul A. Samuelson']",[],[],May,https://www.sciencedirect.com//science/article/pii/0304405X74900099,Journal of Financial Economics,1974,1,1
A note on diversification and the reduction of dispersion,The purpose of this paper is to note that the question of optimal diversification cannot be answered simply by determining the average variability of equally allocated investment. Empirical results are presented which show that it is possible to obtain the same level of average variation with far greater average portfolio returns and fewer securities in the portfolio by using an alternative allocation scheme.,"['K.H. Johnson', 'D.S. Shannon']",[],[],December,https://www.sciencedirect.com//science/article/pii/0304405X74900154,Journal of Financial Economics,1974,1,4
Transactions costs and the relationship between put and call prices,"The relationship between prices of puts and calls on securities that is suggested by the theory of efficient markets is developed and empirically tested in this paper. We find that the basic model is not supported unless rather large transactions costs are included. Moreover, the transactions costs that must be assumed to make the model consistent with the data are so large as to raise troublesome questions as to whether there were unexploited profit opportunities in the options market at least during the 1967–1969 period. We also find that similar deviations from the efficient market hypothesis have shown up in related work by other researchers but that their explanations of these results appear to be incorrect on theoretical grounds or too sanguine.","['J.P. Gould', 'D. Galai']",[],[],July,https://www.sciencedirect.com//science/article/pii/0304405X74900014,Journal of Financial Economics,1974,1,2
Convergence to isoelastic utility and policy in multiperiod portfolio choice,"This paper considers the problem of the investor who has numerous opportunities for revising his portfolio and whose choices are governed by a utility function defined on ‘terminal’ wealth, U0(x0). Attention is focussed on the behavior of the induced utility functions of intermediate wealth with n periods to go, Un(xn), and the associated investment policies. Conditions under which the functions Un(xn) will tend to isoelasticity have previously been given by Mossin and by Leland. In this paper, the conditions for convergence are weakened further, to the point where they appear sufficiently broad to encompass perhaps most utility functions of practical interest.",['Nils H. Hakansson'],[],[],September,https://www.sciencedirect.com//science/article/pii/0304405X7490018X,Journal of Financial Economics,1974,1,3
Portfolio turnpike theorems for constant policies,"This paper develops general overtaking techniques for studying the asymptotic properties of portfolio policies optimal with respect to a terminal utility valuation. For a restricted class of utility functions the sequence of optimal constant (non-revised) portfolio policies formed as the horizon recedes into the future is shown to converge. Furthermore, for utility functions unbounded above and below, this turnpike policy need not be the policy associated with the minimal constant relative risk aversion function that bounds the valuation function from above. Finally, an analogy between the portfolio turnpike problem and the turnpike problem of growth theory is studied.",['Stephen A. Ross'],[],[],July,https://www.sciencedirect.com//science/article/pii/0304405X74900038,Journal of Financial Economics,1974,1,2
