title,abstract,authors,keywords,affiliations,month,link,journal_name,year,volume,issue
How and why do small firms manage interest rate risk?,"Although small firms are particularly sensitive to interest rates and other shocks, empirical work on corporate risk management has focused instead on large public companies. This paper studies fixed-rate and adjustable-rate loans to see how small firms manage their exposure to interest rate risk. Credit-constrained firms are found to match significantly more often with fixed-rate loans, consistent with prior research that shows the supply of credit shrinks during periods of rising interest rates. Banks originate a higher share of adjustable-rate loans than other lenders, ameliorating maturity mismatch and exposure to the lending channel of monetary policy. Time-series patterns in the fixed-rate share are consistent with recent evidence on debt market timing.",['James Vickery'],"['Risk management', 'Interest rate risk', 'Loans', 'Small firms']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X07001961,Journal of Financial Economics,2008,87,2
Internationalization and the evolution of corporate valuation,"By documenting the evolution of Tobin's q before, during, and after firms internationalize, this paper provides evidence on the bonding, segmentation, and market-timing theories of internationalization. We find that Tobin's q does not rise after internationalization, even relative to domestic firms. Instead, q rises significantly before and during the internationalization year, but then falls sharply in the following year, quickly relinquishing the increases of the previous years. In decomposing these dynamics, we find that market capitalization rises before internationalization and remains high, while corporate assets increase during internationalization. The evidence supports the theory that financial internationalization facilitates corporate expansion, but challenges the theory that internationalization produces an enduring effect on q by bonding firms to a better corporate governance system.","['Juan Carlos Gozzi', 'Ross Levine', 'Sergio L. Schmukler']","['International financial markets', 'Financial integration', ""Tobin's q"", 'Bonding', 'Segmentation', 'Cross-listing', 'Depositary receipts', 'ADRs']",[],June,https://www.sciencedirect.com//science/article/pii/S0304405X07001614,Journal of Financial Economics,2008,88,3
Striking oil: Another puzzle?,"Changes in oil prices predict stock market returns worldwide. We find significant predictability in both developed and emerging markets. These results cannot be explained by time-varying risk premia as oil price changes also significantly predict negative excess returns. Investors seem to underreact to information in the price of oil. A rise in oil prices drastically lowers future stock returns. Consistent with the hypothesis of a delayed reaction by investors, the relation between monthly stock returns and lagged monthly oil price changes strengthens once we introduce lags of several trading days between monthly stock returns and lagged monthly oil price changes.","['Gerben Driesprong', 'Ben Jacobsen', 'Benjamin Maat']","['Return predictability', 'Oil prices', 'International stock markets', 'Market efficiency', 'Stock returns', 'Underreaction']",[],August,https://www.sciencedirect.com//science/article/pii/S0304405X08000901,Journal of Financial Economics,2008,89,2
Who makes acquisitions? CEO overconfidence and the market's reaction,"Does CEO overconfidence help to explain merger decisions? Overconfident CEOs over-estimate their ability to generate returns. As a result, they overpay for target companies and undertake value-destroying mergers. The effects are strongest if they have access to internal financing. We test these predictions using two proxies for overconfidence: CEOs’ personal over-investment in their company and their press portrayal. We find that the odds of making an acquisition are 65% higher if the CEO is classified as overconfident. The effect is largest if the merger is diversifying and does not require external financing. The market reaction at merger announcement (-90 basis points) is significantly more negative than for non-overconfident CEOs (-12 basis points). We consider alternative interpretations including inside information, signaling, and risk tolerance.","['Ulrike Malmendier', 'Geoffrey Tate']","['Mergers and Acquisitions', 'Returns to Mergers', 'Overconfidence', 'Hubris', 'Managerial Biases']",[],July,https://www.sciencedirect.com//science/article/pii/S0304405X08000251,Journal of Financial Economics,2008,89,1
Inter-firm linkages and the wealth effects of financial distress along the supply chain,"Extant research examines the extent to which bankruptcy has intra-industry valuation consequences. This study broadens the investigation by examining the wealth effects of distress and bankruptcy filing for suppliers and customers of filing firms. On average, important wealth effects occur prior to and at bankruptcy filings and extend beyond industry competitors along the supply chain. Specifically, distress related to bankruptcy filings is associated with negative and significant stock price effects for suppliers. Supplier wealth effects are more negative when intra-industry contagion is more severe. We also investigate the importance of industry structure, specialized product nature, and leverage on supply chain effects.","['Michael G. Hertzel', 'Zhi Li', 'Micah S. Officer', 'Kimberly J. Rodgers']","['Bankruptcy', 'Financial distress', 'Contagion', 'Supply chain']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X07001808,Journal of Financial Economics,2008,87,2
The expected value premium,"Fama and French [2002. The equity premium. Journal of Finance 57, 637–659] estimate the equity premium using dividend growth rates to measure expected rates of capital gain. We apply their method to study the value premium. From 1945 to 2005, the expected value premium is on average 6.1% per annum, consisting of an expected dividend growth component of 4.4% and an expected dividend price ratio component of 1.7%. Unlike the equity premium, the value premium has been largely stable over the last half century.","['Long Chen', 'Ralitsa Petkova', 'Lu Zhang']","['Value', 'Growth', 'Time-varying expected returns', 'Dividend growth']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X07002139,Journal of Financial Economics,2008,87,2
Capital structure with risky foreign investment,Firms facing significant business risks have incentives to mitigate the costs of these risks by adjusting their capital structures. This paper investigates this link by analyzing the exposures of multinational firms to political risk. The evidence indicates that returns on investment in politically risky countries are more volatile than returns elsewhere. Multinational firms reduce their leverage in response to these political risks: a one standard deviation increase in foreign political risk is associated with 3.5% reduced leverage. The effect of foreign political risks on leverage is most pronounced for firms in industries whose returns are most susceptible to political influence.,"['Mihir A. Desai', 'C. Fritz Foley', 'James R. Hines']","['Capital structure', 'Multinational firms', 'Political risk']",[],June,https://www.sciencedirect.com//science/article/pii/S0304405X07002322,Journal of Financial Economics,2008,88,3
Mixing family with business: A study of Thai business groups and the families behind them,"How does the structure of the families behind business groups affect the group's organization, governance, and performance? We construct a unique dataset of family trees and business groups for 93 of the largest business families in Thailand. We find a strong positive association between family size and family involvement in the ownership and control of the family businesses. The founders’ sons play a central role in both ownership and board membership, especially when the founder of the group is dead. Greater involvement by sons is also associated with lower firm-level performance, especially when the founder is dead. One hypothesis that emerges from our analysis is that part of the decay of family-run groups over time is due to the dilution of ownership and control across a set of equally powerful descendants of the founder, which creates a “race to the bottom” in tunneling resources out of the group firms.","['Marianne Bertrand', 'Simon Johnson', 'Krislert Samphantharak', 'Antoinette Schoar']","['Corporate governance', 'Excess control', 'Groups', 'Families']",[],June,https://www.sciencedirect.com//science/article/pii/S0304405X08000755,Journal of Financial Economics,2008,88,3
Ultimate ownership and control in Russia,"I investigate ultimate control and ownership patterns in Russian publicly traded companies. I show that these companies are controlled either by the state or by anonymous private owners. Federal and regional governments’ control is exercised through extensive use of pyramids. Private owners widely exploit legal loopholes that allow them to mask their holdings and identities through nominee and foreign offshore arrangements. The comparison of formal and informal ownership disclosure reveals that the typical anonymous owners are insiders and that in virtually all cases the market participants “know” who the real owners are. Collectively, the evidence suggests that the legal weaknesses in disclosure requirements are important determinants of country-specific ownership and control structures.",['Lucy Chernykh'],"['Ownership', 'Corporate control', 'Transparency', 'Corporate governance', 'Russia']",[],April,https://www.sciencedirect.com//science/article/pii/S0304405X08000147,Journal of Financial Economics,2008,88,1
Venture capital reputation and investment performance,"I propose a new measure of venture capital (VC) firm reputation and analyze its performance implications on private companies. Controlling for portfolio company quality and other VC-specific factors including experience, connectedness, syndication, industry competition, exit conditions, and investment environment, I find companies backed by more reputable VCs by initial public offering (IPO) capitalization share (based on cumulative market capitalization of IPOs backed by the VC), are more likely to exit successfully, access public markets faster, and have higher asset productivity at IPOs. Further tests suggest VCs’ IPO Capitalization share effectively captures both VC screening and monitoring expertise. My findings have financial implications for limited partners and entrepreneurs regarding their VC-sorting activities.",['Rajarishi Nahata'],"['Venture capital', 'Reputation', 'Certification', 'Initial public offerings', 'Mergers and acquisitions (M&A)']",[],November,https://www.sciencedirect.com//science/article/pii/S0304405X08001414,Journal of Financial Economics,2008,90,2
