title,abstract,authors,keywords,affiliations,month,link,journal_name,year,volume,issue
Nasdaq market structure and spread patterns,"Because of its institutional features, the Nasdaq market does not fit the standard competitive model. We construct a model that reflects the distinguishing characteristics of the Nasdaq market. This model implies that in dealer markets with a minimum price increment, competition among market-makers does not necessarily drive spreads down to the level of marginal cost. Using this result, we provide an explanation for the odd-eighth avoidance documented in Christie and Schultz (1994). We show that market-makers can use odd-tick avoidance as a coordination device to increase spreads. Evidence from Nasdaq supports our hypotheses.","['Eugene Kandel', 'Leslie M. Marx']","['Nasdaq', 'Odd-eighth avoidance', 'Bid-ask spread', 'Market makers']",[],July,https://www.sciencedirect.com//science/article/pii/S0304405X9600894X,Journal of Financial Economics,1997,45,1
Information and contagion effects of bank loan-loss reserve announcements,"Consistent with an information-signaling perspective, negative and statistically significant announcement effects are associated with bank loan-loss reserve (LLR) announcements over the 1985–1990 period. Announcement effects differ between money-center and regional banks and also according to the nature of contemporaneous earnings and dividend disclosures. Moreover Information transfer or ‘contagion’ effects are present in that LLR announcements by regional banks decrease the value of both money-center banks and nonannouncing regional banks. These statistically significant contagion effects suggest a link between the asset quality characteristics of money-center and regional bank loan portfolios.","['Diane Scott Docking', 'Mark Hirschey', 'Elaine Jones']","['Information', 'Contagion', 'Banking', 'Loan-loss reserves']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X96008951,Journal of Financial Economics,1997,43,2
Limit orders and the alleged Nasdaq collusion,"Different methods are used by the NYSE/Amex and the Nasdaq to accomodate limit orders received from investors. This accounts for at least part of the excess of Nasdaq spreads over NYSE spreads, adjusted for trading volume, and is a factor in determining this excess that is independent of collusion on the Nasdaq. The spread-comparison evidence given by others to support their belief that there is collusion among market makers on the Nasdaq therefore overstates the probability of collusion and its significance if it exists.",['Harold Demsetz'],"['Stocks', 'Spreads', 'Financial', 'Nasdaq', 'Collusion']",[],July,https://www.sciencedirect.com//science/article/pii/S0304405X97000123,Journal of Financial Economics,1997,45,1
Industry costs of equity,Estimates of the cost of equity for industries are imprecise. Standard errors of more than 3.0% per year are typical for both the CAPM and the three-factor model of Fama and French (1993). These large standard errors are the result of(i) uncertainty about true factor risk premiums and (ii) imp ecise estimates of the loadings of industries on the risk factors. Estimates of the cost of equity for firms and projects are surely even less precise.,"['Eugene F. Fama', 'Kenneth R. French']","['Cost of equity', 'Asset pricing models', 'Risk loadings']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X96008963,Journal of Financial Economics,1997,43,2
Ownership and operating performance of companies that go public,"Going public typically leads to a separation of managerial control and stock ownership, and potentially worsens managerial incentives. We document that the median ownership stake of officers and directors declines significantly from the year before going public to ten years later. Median operating return on assets also declines from the year before the offering to the end of the first year of public trading, but performance declines no further in ten years. In general, operating performance both within one year of the offering and during the first ten years of public trading is unrelated to ownership of officers and directors.","['Wayne H. Mikkelson', 'M. Megan Partch', 'Kshitij Shah']","['Initial public offerings', 'Going public', 'Separation of ownership and control', 'Operating performance of small companies']",[],June,https://www.sciencedirect.com//science/article/pii/S0304405X97000068,Journal of Financial Economics,1997,44,3
A case study of organizational form and risk shifting in the savings and loan industry,"I analyze the investment and funding strategies of two thrifts, one stock owned and one mutually owned, from 1983 to 1988. Despite their similarities prior to 1983, the stock thrift implemented a riskier financial strategy and did so only after converting to stock ownership. Although this strategy ultimately led to its failure, the stock thrift still made significant payouts to its controlling shareholders. This case study illustrates in stark terms the relation between organizational form and risk shifting in the thrift industry.",['Benjamin C. Esty'],"['Organizational form', 'Risk shifting', 'Agency', 'Leverage', 'Savings', 'loan']",[],April,https://www.sciencedirect.com//science/article/pii/S0304405X96000086,Journal of Financial Economics,1997,44,1
The effects of equity issues on ownership structure and stock liquidity: A comparison of rights and public offerings,"I find that proportionate bid ask spreads increase after rights offerings of common stock, but decrease after public underwritten offerings. These changes are correlated with changes in the issuing firm's ownership structure. Public offerings cause greater dispersion in share ownership while rights offerings lead to more concentrated ownership. I argue that increased spreads represent a significant cost to issuing firms shareholders, making rights offerings costlier than public underwritten offerings for actively traded firms.",['Meeta Kothare'],"['Seasoned equity offerings', 'Rights offerings', 'Ownership structure', 'Bid ask spread', 'Liquidity']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X96008926,Journal of Financial Economics,1997,43,1
Organizational form and risk taking in the savings and loan industry,"I hypothesize that risk taking is greater in stock thrifts than in mutual thrifts because the residual and fixed claims are separable. I find that stock thrifts exhibit greater profit variability during the 1982–1988 period and that conversions from mutual to stock ownership are associated with increased investment in risky assets and increased profit variability. These findings illustrate the relation between the structure of residual claims, incentives, and firm performance as well as the unintended consequences resulting from changes in thrift regulations.",['Benjamin C. Esty'],"['Organizational form', 'Residual claims', 'Agency', 'Debt', 'Savings', 'loan']",[],April,https://www.sciencedirect.com//science/article/pii/S0304405X96008975,Journal of Financial Economics,1997,44,1
Bounds on contingent claims based on several assets,"In 1987, Lo derived an upper bound on the price of a European call option on a single asset. Lo's bound depends only on the mean and variance of the terminal asset price and is termed a semi-parametric bound. This paper derives similar semi-parametric bounds on a European call on the maximum of any number of assets. A distribution-free bound for the price of this option is obtained. The bound depends only on the means and covariance matrix of the returns on n underlying assets. The bound is obtained by optimizing over the entries of a positive definite matrix A. This can be accomplished by a technique known as semidefinite programming. We demonstrate the methodology using two specific applications. The first concerns the valuation of a European call option on the maximum of several assets. This is known as an outperformance option and is of some practical interest. The second application concerns the valuation of a discretely adjusted lookback option. These lookback options are of interest in connection with certain equity annuity insurance products.","['Phelim P. Boyle', 'X. Sheldon Lin']","['Option pricing', 'Upper bounds', 'Multiple assets']",[],December,https://www.sciencedirect.com//science/article/pii/S0304405X97000354,Journal of Financial Economics,1997,46,3
Layoffs and underwritten rights offers,"In seasoned equity rights offers, the standby underwriting contract resembles the sale of a put option. In the rights offering period, underwriters reduce their exposure to the standby underwriting by purchasing rights hedged with short sale of the common stock. Consistent with Eckbo and Masulis (1992), offers with large rights sell-offs during the offering period experience significant price decline. The offering period price decline and the nature of constraints confronting underwriters may partially explain the preference for general public offers.",['Ajai K. Singh'],"['Standby underwriting', 'Rights offers', 'Layoffs']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X96008768,Journal of Financial Economics,1997,43,1
