title,abstract,authors,keywords,affiliations,month,link,journal_name,year,volume,issue
Short-term trading around ex-dividend days,"A dividend tax penalty creates profitable trading opportunities for short-term traders with sufficiently low transaction costs. In stocks with ex-dividend day returns affected by short-term trading, ex-day returns are positively correlated with transaction costs. Data from 1964–1985 indicate that short-term traders are the marginal investors in high-yield stocks, primarily since the introduction of negotiated commissions on the NYSE. Short-term trading is not evident in low-yield stocks, nor does it appear prevalent before negotiated commissions.","['Jonathan M. Karpoff', 'Ralph A. Walkling']",[],[],September,https://www.sciencedirect.com//science/article/pii/0304405X88900633,Journal of Financial Economics,1988,21,2
Earnings information conveyed by dividend initiations and omissions,"Firms that initiate dividend payments have positive earnings changes both before and after the dividend policy change, while those omitting dividend payments have negative earnings changes. Subsequent earnings changes are positively related to the dividend announcement return, and stock price reactions at subsequent earnings announcements are smaller than usual, suggesting that these earnings changes are partially anticipated at the dividend announcement. The results indicate that investors interpret announcements of dividend initiations and omissions as managers' forecasts of future earnings changes.","['Paul M. Healy', 'Krishna G. Palepu']",[],[],September,https://www.sciencedirect.com//science/article/pii/0304405X88900591,Journal of Financial Economics,1988,21,2
The effect of issuing preferred stock on common and preferred stockholder wealth,"Generally, utilities issue straight fixed-rate preferreds, industrials issue convertible fixed-rate preferreds, and financials issue adjustable-rate preferreds. The corresponding announcement-period common stock abnormal returns are economically insignificant for utilities, negative and significant at the 0.05 level for industrials, and positive and significant at the 0.10 level for financials. Information effects explain the cross-sectional results for industrial firms, but tax benefits and/or regulatory conditions are more likely explanations of the results documented for financial corporations and utilities. Returns to preferred stockholders support neither the wealth redistribution- hypothesis nor the price-pressure hypothesis.","['Scott C. Linn', 'J. Michael Pinegar']",[],[],October,https://www.sciencedirect.com//science/article/pii/0304405X88900268,Journal of Financial Economics,1988,22,1
The Eurobond market and corporate financial policy,"On average, significant positive abnormal returns are associated with Eurobond issues during the period 1975–1985. The cross-sectional and time-series distributions of the abnormal returns are consistent with the hypothesis that impediments to the adjustment of asset supplies to new demand conditions are large enough to create profitable financing opportunities for firms. Our analysis demonstrates how profitable financing opportunities can persist on the Eurobond market and when they are most likely to arise.","['Yong Cheol Kim', 'RenéM. Stulz']",[],[],December,https://www.sciencedirect.com//science/article/pii/0304405X88900682,Journal of Financial Economics,1988,22,2
The real term structure and consumption growth,"One version of the consumption-based asset pricing model implies a linear relation between expected returns and expected consumption growth. This paper provides evidence that the expected real term structure contains information that can be used to forecast consumption growth. The evidence is strongest for the 1970s and 1980s. The real term structure contains more information than two alternative measures: lagged consumption growth and lagged stock returns. Further, the real term structure appears to have slightly more forecasting power than the leading commercial econemetric models.",['Campbell R. Harvey'],[],[],December,https://www.sciencedirect.com//science/article/pii/0304405X88900736,Journal of Financial Economics,1988,22,2
The information in forward rates,"Term-structure models from Cox, Ingersoll, and Ross (1985) imply that conditional expected discrete-period returns on discount instruments are linear functions of forward rates. Tests reject a single-latent-variable model of expected returns on U.S. Treasury bills, but two or three latent variables appear to describe expected returns on bills of all maturities. Expected returns estimated using two-latent-variables exhibit variation with business cycles similar to what Fama (1986) observes for forward rates. Inverted term structures precede recessions and upward-sloping structures precede recoveries.",['Robert F. Stambaugh'],[],[],May,https://www.sciencedirect.com//science/article/pii/0304405X88900311,Journal of Financial Economics,1988,21,1
Dividend yields and expected stock returns,"The power of dividend yields to forecast stock returns, measured by regression R2, increases with the return horizon. We offer a two-part explanation. (1) High autocorrelation causes the variance of expected returns to grow faster than the return horizon. (2) The growth of the variance of unexpected returns with the return horizon is attenuated by a discount-rate effect - shocks to expected returns generate opposite shocks to current prices. We estimate that, on average, the future price increases implied by higher expected returns are just offset by the decline in the current price. Thus, time-varying expected returns generate ‘temporary’ components of prices.","['Eugene F. Fama', 'Kenneth R. French']",[],[],October,https://www.sciencedirect.com//science/article/pii/0304405X88900207,Journal of Financial Economics,1988,22,1
Corporate payout policy,"Theories of corporate payout policy do not explain the observed form of distributions to shareholders. Although open-market repurchases appear to have tax advantages, cash dividends are overwhelmingly chosen. We argue that there are costs associated with open-market-repurchase programs, since they provide managers with opportunities to use inside information to benefit themselves at stockholders' expense. We offer evidence suggesting that bid-ask spreads widen around repurchase announcements, as predicted by our analysis. Since these costs of repurchases do not arise with cash dividends, our analysis implies that repurchases do not dominate cash dividends for making distributions to shareholders.","['Michael J. Barclay', 'Clifford W. Smith']",[],[],October,https://www.sciencedirect.com//science/article/pii/0304405X88900220,Journal of Financial Economics,1988,22,1
"Trades, quotes, inventories, and information","This empirical examination of the relation between trades and quote revisions for New York Stock Exchange-listed stocks is designed to ascertain asymmetric-information and inventory-control effects. This study finds that negative autocorrelation in trades consistent with inventory-control behavior characterizes low-volume stocks, but not high-volume stocks. The evidence of inventory control in the impact of trades on quote revisions is inconclusive. The information content of trades, on the other hand, is found to be substantial. There is also strong evidence that large trades convey more information than small trades.",['Joel Hasbrouck'],[],[],December,https://www.sciencedirect.com//science/article/pii/0304405X88900700,Journal of Financial Economics,1988,22,2
Estimating the components of the bid/ask spread,"This paper develops and implements a technique for estimating a model of the bid/ask spread. The spread is decomposed into two components, one due to asymmetric information and one due to inventory costs, specialist monopoly power, and clearing costs. The model is estimated using NYSE common stock transaction prices in the period 1981–1983. Cross-sectional regression analysis is then used to relate time-series estimated spread components to other stock characteristics. The results cannot reject the hypothesis that significant amounts of NYSE common stock spreads are due to asymmetric information.","['Lawrence R Glosten', 'Lawrence E Harris']",[],[],May,https://www.sciencedirect.com//science/article/pii/0304405X88900347,Journal of Financial Economics,1988,21,1
